,domain,revenue,is_confidential,name,seller_id,seller_type,_merge
2009,,,0,Wellobee,fb353107819a6d512e4e3826e55d970f,PUBLISHER,right_only
2010,strossle.com,,0,Strossle,fb4139804f25a6b489ab2c2154297a45,PUBLISHER,right_only
2011,estiloydeco.com,,0,estiloydeco.com,fb5e5c2e770b502cd42f983523e411a5,PUBLISHER,right_only
2012,uk.businessinsider.com,,0,Business Insider,fb6be43f1163634d922cfe730920d24d,PUBLISHER,right_only
2013,itophub.blogspot.in,,0,itophub,fb79459825175537a5503e6c8fcbd95b,PUBLISHER,right_only
2014,ferssans.blogspot.com,,0,ALFERSSAN NETWORK,fbe2073da07ada7bd2dd93a446039c99,PUBLISHER,right_only
2015,smartwall.ai,,0,Swisspay,fbf7d3c2d720a8146d226e36456839c0,PUBLISHER,right_only
2016,newatlas.com,,0,New Atlas,fc509d954618d9f09a37b7c1d8c9ea7c,PUBLISHER,right_only
2017,pagerankmedia.com,,0,Page Rank Media LLC,fc614eba56f8f9d39c2a11928d4bba26,PUBLISHER,right_only
2018,schibsted.es,,0,Adevinta ES,fc77fc611f17b9a0073b80101b9bcf1c,PUBLISHER,right_only
2019,elconfidencial.com,,0,TITANIA,fca0a2dafa88025862b5cc43ec0b4aa8,PUBLISHER,right_only
2020,aiotoolbox.com,,0,AIO Toolbox Inc.,fcf1ff011bef52f745020bf6b5883b36,PUBLISHER,right_only
2021,gumtree.com,,0,Gumtree,fcf698f5a22ad5102ace031002bcf873,PUBLISHER,right_only
2022,vitalia.si,,0,ATS splet,fd2f52dfe7e162817a819c217c8cee35,PUBLISHER,right_only
2023,decomag.fr,,0,Déco Mag,fd3e7f7102bba276e40adfe41fbe151e,PUBLISHER,right_only
2024,football365.com,,0,Planet Sport [HB],fd44b613b45917a275f812e65ea3f7c4,PUBLISHER,right_only
2025,leslouves.com,,0,Les Louves,fd453aa4d8d389c5765493e2a814eadc,PUBLISHER,right_only
2026,adyoulike.com,,0,ayl,fd599e2c607a37b6378fda643184254e,PUBLISHER,right_only
2027,cambium-media.com,,0,Cambium Media,fdce0da53ce94cbd1992908194ff6bf9,BOTH,right_only
2028,lemarchedubois.com,,0,Lemarchedubois.com,fdd0c49fc8fae1f5b0c7fe41ac251e94,PUBLISHER,right_only
